Predictor variable,Categorical,Sample average
wc2.1_2.5m_bio_1,false,4.484726523084624
wc2.1_2.5m_bio_10,false,14.29412779758546
wc2.1_2.5m_bio_11,false,-4.4962081497077495
wc2.1_2.5m_bio_12,false,647.757785467128
wc2.1_2.5m_bio_13,false,101.14532871972318
wc2.1_2.5m_bio_14,false,17.47750865051903
wc2.1_2.5m_bio_15,false,50.49820699328782
wc2.1_2.5m_bio_16,false,276.8200692041523
wc2.1_2.5m_bio_17,false,65.3840830449827
wc2.1_2.5m_bio_18,false,92.32179930795847
wc2.1_2.5m_bio_19,false,246.02076124567475
wc2.1_2.5m_bio_2,false,14.326992724593536
wc2.1_2.5m_bio_3,false,40.64413320811975
wc2.1_2.5m_bio_4,false,771.9736747345711
wc2.1_2.5m_bio_5,false,24.27000696518842
wc2.1_2.5m_bio_6,false,-11.297108345275106
wc2.1_2.5m_bio_7,false,35.56711538110225
wc2.1_2.5m_bio_8,false,2.9431218322894983
wc2.1_2.5m_bio_9,false,8.18824366578078
