X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0035731409274295913,89.61295588253978,0.7482087130994984
2.0,2.0,train,0.003570506519188485,89.25545415846587,0.7479525553785012
3.0,3.0,train,0.001999102343333765,14.56178324808037,0.537731814525884
4.0,4.0,train,0.002087512479717621,16.404756460026462,0.5532403210636814
5.0,5.0,train,0.003408287041323879,70.79382957724825,0.731666519856482
6.0,6.0,train,0.0018984907631020697,12.418021417174339,0.5194270227563316
7.0,7.0,train,0.0030009768253899415,48.74107292467109,0.685984160396319
8.0,8.0,train,0.0030009768253899415,48.74107292467109,0.685984160396319
9.0,9.0,train,0.0025333806632448904,31.546272384168805,0.6238735507875557
10.0,10.0,train,0.0030009768253899415,48.74107292467109,0.685984160396319
11.0,11.0,train,0.0025366122950270706,32.05536584554498,0.6243424157438927
12.0,12.0,train,0.003460977083915936,76.614757897958,0.7370685572423364
13.0,13.0,train,0.003308779519694773,61.072360368957746,0.7211599619348352
14.0,14.0,train,0.0035264781911089785,84.29763459869199,0.7436326645488163
15.0,15.0,train,0.0035264781911089785,84.29763459869199,0.7436326645488163
16.0,16.0,train,0.0029498761886764344,46.65161399534739,0.6797291113584224
17.0,17.0,train,0.0036828577245469137,95.39883149400077,0.7586490211123076
18.0,18.0,train,0.0024747327037520014,28.54478929008902,0.6152621374013909
19.0,19.0,train,0.0023739939838877816,22.235731434073116,0.6000077455489454
20.0,20.0,train,0.0014602580870763863,6.6962047951459045,0.43085946721589896
21.0,21.0,train,0.0033338475923884014,64.72595993559875,0.7238449327667569
22.0,22.0,train,0.002731504553010934,40.416406062259384,0.6515642431506314
23.0,23.0,train,0.001853323664879049,11.285015976180185,0.5109754889205911
24.0,24.0,train,0.0025273238102975406,31.039985535216463,0.6229932086090302
25.0,25.0,train,0.002662953621256568,37.99175710660824,0.642221871492247
26.0,26.0,train,0.002662953621256568,37.99175710660824,0.642221871492247
27.0,27.0,train,0.003006560060755067,49.94272484258937,0.6866601382677484
28.0,28.0,train,0.0022436522767574876,18.7676244416765,0.5793697213111471
29.0,29.0,train,0.0019247431093965827,12.801401834809111,0.5242720014262205
30.0,30.0,train,0.0019247431093965827,12.801401834809111,0.5242720014262205
31.0,31.0,train,0.0019247431093965827,12.801401834809111,0.5242720014262205
32.0,32.0,train,0.0036384240495487105,94.29912780845363,0.7544740483337445
33.0,33.0,train,0.0036384240495487105,94.29912780845363,0.7544740483337445
34.0,34.0,train,0.0018984907631020697,12.418021417174339,0.5194270227563316
35.0,35.0,train,4.078106359155555E-4,1.960046533902462,0.14564291870491153
36.0,36.0,train,0.0034625085546908657,76.96074855034418,0.7372239338885909
37.0,37.0,train,4.842151541066142E-4,2.305635118657088,0.1704704354019565
38.0,38.0,train,0.001726133383244414,9.127603911899673,0.4863689026915582
39.0,39.0,train,0.0024627572438418255,28.046054393790065,0.6134796597803603
40.0,40.0,train,0.0025703136670723005,34.91170094984341,0.6291973238314745
41.0,41.0,train,0.003535440214772687,87.47490326610557,0.7445179446569846
42.0,42.0,train,0.002558848464703043,33.324398344067106,0.6275527675441075
43.0,43.0,train,0.001600309974023007,7.820227446410525,0.46080871299845017
44.0,44.0,train,0.001600309974023007,7.820227446410525,0.46080871299845017
45.0,45.0,train,0.0023534968681961114,21.79633981746591,0.5968306792927989
46.0,46.0,train,0.0024747327037520014,28.54478929008902,0.6152621374013909
47.0,47.0,train,0.002558848464703043,33.324398344067106,0.6275527675441075
48.0,48.0,train,0.0022914436736160785,20.13298118116841,0.5870577266709281
49.0,49.0,train,0.0024747327037520014,28.54478929008902,0.6152621374013909
50.0,50.0,train,0.002402027235579659,24.144511534387533,0.6043124213793629
51.0,51.0,train,0.0032907912745668475,59.75197437465597,0.7192172190400348
52.0,52.0,train,0.0034169944510173632,73.5235752909296,0.7325668402764849
53.0,53.0,train,0.0022714139959240675,19.44766839734876,0.5838528891676189
54.0,54.0,train,0.0018529090601794676,10.91429077326173,0.5108972248457332
55.0,55.0,train,0.0023982497569917153,23.664738998732417,0.6037350783448148
56.0,56.0,train,0.002538401439689771,32.81474750588291,0.6246017444118156
57.0,57.0,train,0.0033136423088725208,61.735066608742315,0.7216828345849958
58.0,58.0,train,0.003034821041305579,50.547512001534635,0.6900595143565005
59.0,59.0,train,0.0032045642876396183,55.5407412999923,0.7097150309680935
60.0,60.0,train,0.0030528795146329674,51.15623059615196,0.6922123432969884
61.0,61.0,train,0.002051691004423535,15.371198921804677,0.5470203824217805
62.0,62.0,train,0.003034821041305579,50.547512001534635,0.6900595143565005
63.0,63.0,train,0.0034160710262092307,72.84018794887572,0.7324715042494809
64.0,64.0,train,0.0036783591927377597,95.03071715941002,0.7582295908008079
65.0,65.0,train,0.0020550687346284438,15.576567789333815,0.5476105609502282
66.0,66.0,train,0.0036828577245469137,95.39883149400077,0.7586490211123076
67.0,67.0,train,0.003408287041323879,70.79382957724825,0.731666519856482
68.0,68.0,train,0.0027359338655786633,40.96400459418474,0.6521594264226906
69.0,69.0,train,0.0025079169078803935,30.77731734322795,0.6201585821205897
70.0,70.0,train,0.003603666422913665,92.4837650469769,0.7511579545000461
71.0,71.0,train,0.0025703136670723005,34.91170094984341,0.6291973238314745
72.0,72.0,train,0.0023739939838877816,22.235731434073116,0.6000077455489454
73.0,73.0,train,0.0035302865517968904,85.3556804781976,0.7440092334623853
74.0,74.0,train,0.002998627046362562,48.44122471241747,0.6856992302535223
75.0,75.0,train,0.0030530473046590707,51.45671109679622,0.6922322759972155
76.0,76.0,train,0.0033881404186720844,70.45305799966074,0.7295717822065105
77.0,77.0,train,0.0035939375655621476,91.04718173142514,0.7502217642224692
78.0,78.0,train,0.0019247431093965827,12.801401834809111,0.5242720014262205
79.0,79.0,train,3.8925728317406086E-4,1.8387357981447265,0.13950274519774375
80.0,80.0,train,0.0035302865517968904,85.3556804781976,0.7440092334623853
